name,birth_date,death_date,age_at_death,cause,sun_sign,sun_element,sun_saturn_hard,moon_saturn_hard,mars_sign,sun_neptune_aspect,cos_return_Sun,angle_return_Sun,cos_return_Moon,angle_return_Moon,cos_return_Mercury,angle_return_Mercury,cos_return_Venus,angle_return_Venus,cos_return_Mars,angle_return_Mars,cos_return_Jupiter,angle_return_Jupiter,cos_return_Saturn,angle_return_Saturn,cos_return_Uranus,angle_return_Uranus,cos_return_Neptune,angle_return_Neptune,cos_return_Pluto,angle_return_Pluto,cos_return_North Node,angle_return_North Node,birth_doy,death_doy,days_from_birthday,Ceres_Sign,Ceres_Lon,Pallas_Sign,Pallas_Lon,Juno_Sign,Juno_Lon,Vesta_Sign,Vesta_Lon,Chiron_Sign,Chiron_Lon
Ernest Hemingway,1899-07-21 08:00:00,1961-07-02,61.94387405886379,suicide,Cancer,Water,False,False,Virgo,False,0.9513093308526462,342.04693428343944,0.5101924831430396,59.32334820257097,0.6103996105565478,307.6184030210335,0.6730276224657195,312.301170431395,0.9491869135727272,341.6565179022575,-0.0675814027605847,93.875082720541,0.7668178264587651,39.931013874818746,-0.1879460689978077,259.16705666222697,-0.6804821487884687,132.88133134841271,0.1752931949731336,79.9042793104563,-0.4717798447485328,241.8501077362622,202,183,19,Capricorn,276.21513784019845,Leo,145.24909552298377,Cancer,102.83525474382198,Virgo,170.41437598938174,,
F Scott Fitzgerald,1896-09-24 15:30:00,1940-12-21,44.23545516769336,cardiac,Libra,Air,False,False,Gemini,False,0.0447520627930853,87.43503902975868,-0.7735724592310085,140.6757854793503,0.6011990377015234,53.04417925206269,0.788523234469315,37.952281157891576,-0.8648967278027712,149.87091501048377,-0.3978304402592474,246.5573812973913,-0.9904174191373591,172.06172220568936,-0.999849264539176,180.99483441838683,-0.1282412208327678,97.36797099655156,0.6404376475882891,50.17553847675532,-0.7147522560194299,224.3771006768813,268,356,88,Taurus,31.407587420267884,Libra,204.76589530786867,Libra,202.89636789868226,Gemini,80.528889630336,,
William Faulkner,1897-09-25 12:00:00,1962-07-06,64.77207392197126,cardiac,Libra,Air,False,False,Libra,False,0.195420137785178,281.2692679115078,0.9760126966200716,347.42522228222765,-0.0618188468003088,266.4557811215691,0.9944494826463156,353.9604379533058,-0.7882509260043374,217.97764306711863,-0.9826943446815132,169.3251946607416,0.291472242686863,73.05388238235071,0.0328884557965655,271.8847095822158,-0.7459085377952918,138.2371949023937,0.1152545785626423,83.38169103697466,-0.9922072243540744,187.15757900650055,268,187,81,Virgo,168.402022556287,Virgo,176.6365691059967,Leo,148.61144479708824,Libra,200.14016124016544,,
John Steinbeck,1902-02-27 15:00:00,1968-12-20,66.80903490759754,cardiac,Pisces,Water,False,False,Pisces,False,0.3515443142852699,290.58180139948087,0.4735165295357245,61.737194712403664,0.7038770644076492,314.7388950371895,0.9937670417634288,353.599549027788,-0.76737681989044,219.8810895804348,-0.5012888802214851,239.91469167291456,0.0951053412089014,84.54261712885369,0.2230309461138209,282.8871176787028,-0.8545128395890034,148.70595700606876,-0.1463718630132617,98.41672881314518,-0.8459180249480882,147.7704284610579,58,355,68,Scorpio,217.49949045988984,Aquarius,321.46737716725596,Aquarius,318.80740313105747,Pisces,344.6964056967162,,
Jack Kerouac,1922-03-12 17:00:00,1969-10-21,47.60848733744011,disease,Pisces,Water,False,False,Sagittarius,False,-0.8030841268637494,216.5743676931664,-0.999672619902465,178.5338594141105,-0.6687890255663526,228.02633011705615,-0.9948867727073202,185.79656095325765,0.7724320933674692,39.42720611043674,0.99928892099529,2.1608384362967854,-0.858827227395175,210.8148420256067,-0.901668766788898,205.62170640210988,-0.2365544104098462,103.68326767342457,0.2050814563812631,78.16573253195868,-0.9344752459622304,159.14353201230116,71,294,142,Virgo,160.5363502940782,Aquarius,323.82676128237995,Pisces,359.0404128091606,Sagittarius,250.48377827515984,,
William Burroughs,1914-02-05 12:00:00,1997-08-02,83.48528405201917,cardiac,Aquarius,Air,False,True,Cancer,False,-0.9951583937139692,174.35962804331717,0.6219912513924554,51.53830754332266,-0.9728536254139768,193.3807647550692,-0.8859513579788136,207.6311759572734,-0.2898621661762639,106.84970429395888,0.9684963347717972,14.41999038325298,0.6308241904530358,309.1109560220931,0.9996545529182348,358.493944774458,-0.999442949722702,181.9125156163326,-0.8952447306068793,153.5398819918068,-0.9958454435582718,185.22456858891024,36,214,178,Gemini,69.25295065410504,Aquarius,324.08766231029404,Aquarius,314.3276324243929,Cancer,96.02863017286516,,
Allen Ginsberg,1926-06-03 02:00:00,1997-04-05,70.83641341546885,cancer,Gemini,Air,False,False,Pisces,False,0.5591909563585999,303.9998654328542,0.9838351684742138,10.315968036716695,0.81950005959465,325.0347790718559,0.9711570368368456,346.2054672800156,-0.999534243214502,178.25122440704152,0.9813334439399016,348.9121429342787,-0.7615138514204584,139.59783805252383,0.6301698894903499,309.0626577869304,-0.9240227774843032,157.52145649288772,-0.7876361580693401,141.96515228790537,0.3443896504518184,69.85545777804326,154,95,59,Pisces,338.3552740366497,Gemini,69.74051157141403,Taurus,30.28383004311641,Pisces,351.68441661530363,,
Hunter S Thompson,1937-07-18 12:00:00,2005-02-20,67.59206023271732,suicide,Cancer,Water,False,False,Scorpio,False,-0.8035562828503378,216.5289430098252,-0.6185774125081325,231.7876761415736,-0.8630896608830552,210.3347198206211,-0.3209497046106855,251.2796312875917,0.6774712211818787,47.35365001057619,-0.0641285757697782,266.32318018172424,-0.2765092046713169,106.05197311433253,0.39409017188263,293.2092424879304,-0.8557062976788502,148.8378513123913,-0.8286326725354384,145.9585355510152,-0.6770965771987852,132.61717385136913,199,51,148,Scorpio,239.34377525869417,Leo,126.61792353870199,Gemini,71.05856361053358,Scorpio,232.38062451635733,,
Truman Capote,1924-09-30 15:00:00,1984-08-25,59.898699520876114,overdose,Libra,Air,False,True,Aquarius,False,0.8220648916661201,325.2920347225272,0.2324574472290375,283.44179523638104,0.9793729017861362,348.342483005144,0.8711012874708044,29.41313051574033,0.1462514707472528,278.4097558046858,0.9463028295881332,18.861495128803057,0.9866643157297064,9.367616469582089,-0.1610651571007691,260.7312728555165,-0.6011937384970926,126.95544079354976,-0.282504366974611,106.4097301786,0.1981613488830118,281.4294602750476,274,238,36,Scorpio,210.60104219526644,Virgo,169.93419197526967,Leo,142.3345981378542,Aquarius,325.7798685887244,,
Tennessee Williams,1911-03-26 02:30:00,1983-02-25,71.91786447638604,accident,Aries,Fire,False,True,Aquarius,False,0.8828918573839204,331.99319862731494,-0.9998340498203486,181.0438365504225,0.5730074681075089,304.9602130540636,0.8713716106798957,330.6184228155767,0.6236970454545679,51.4133821722109,0.8995969769269113,25.89485788296554,-0.9998595793359628,179.03980768972647,0.6464901847978662,310.27749656820976,-0.9404612348547624,160.1291595847638,-0.5508498960289075,123.42533894324812,0.6569325885137455,48.9336479991607,85,56,29,Aquarius,309.0535713965602,Aries,10.003125842000824,Taurus,32.58865896938265,Aquarius,308.9619078447258,,
