Category,Feature,Value,Avg_Births,Days_Count,Deviance_Pct
Planet_Sign,Venus,Libra,9897.515873015873,126,-0.005129061595421714
Planet_Sign,Venus,Pisces,9766.728,125,-1.3264824850525438
Planet_Sign,Venus,Sagittarius,9698.496183206107,131,-2.015830378173842
Planet_Sign,Venus,Scorpio,9782.364341085271,129,-1.1685081075591535
Planet_Sign,Venus,Taurus,9936.93023255814,129,0.3930752803944723
Planet_Sign,Venus,Virgo,10071.875968992248,129,1.7564357105813797
Planet_Sign,Mars,Aquarius,9719.0,83,-1.808679761761113
Planet_Sign,Mars,Aries,9842.363309352519,278,-0.5623369060885038
Planet_Sign,Mars,Cancer,9991.88961038961,154,0.9483313631956101
Planet_Sign,Mars,Capricorn,9679.369047619048,84,-2.209072347066647
Planet_Sign,Mars,Gemini,9825.153354632588,313,-0.7362095447540337
Planet_Sign,Mars,Leo,10260.696551724139,145,3.664095172110134
Planet_Sign,Mars,Libra,9998.430656934306,137,1.0144157336003363
Planet_Sign,Mars,Pisces,9898.639534883721,86,0.006223324689732771
Planet_Sign,Mars,Sagittarius,9592.12,125,-3.0905518382944672
Planet_Sign,Mars,Scorpio,9668.34351145038,131,-2.3204636376043406
Planet_Sign,Mars,Taurus,9873.380952380952,147,-0.24896481846217322
Planet_Sign,Mars,Virgo,10335.818181818182,143,4.423051035612832
Planet_Sign,Jupiter,Aquarius,9714.255033557047,298,-1.8566182862512575
Planet_Sign,Jupiter,Aries,10007.340694006309,317,1.1044340794663288
Planet_Sign,Jupiter,Capricorn,9722.93733681462,383,-1.7689007412805868
Planet_Sign,Jupiter,Pisces,9864.281368821294,263,-0.34089815762680487
Planet_Sign,Jupiter,Sagittarius,10161.75892857143,336,2.664525685681706
Planet_Sign,Jupiter,Taurus,9930.454148471616,229,0.32764722746416897
Planet_Sign,Saturn,Aquarius,9853.110624315443,913,-0.4537564919280251
Planet_Sign,Saturn,Capricorn,9970.57003257329,614,0.7329390910784959
Planet_Sign,Saturn,Pisces,9886.190635451505,299,-0.11954824345126866
Lunar_Tithi,Tithi,1,9964.0,65,0.6665618740418018
Lunar_Tithi,Tithi,2,9938.266666666666,60,0.40657731039011896
Lunar_Tithi,Tithi,3,9870.44642857143,56,-0.27861239199109633
Lunar_Tithi,Tithi,4,9938.322580645161,62,0.4071422108292747
Lunar_Tithi,Tithi,5,9937.484375,64,0.3986737964934889
Lunar_Tithi,Tithi,6,9887.819672131147,61,-0.10309004175453379
Lunar_Tithi,Tithi,7,9818.046875,64,-0.808006500960432
Lunar_Tithi,Tithi,8,9871.587301587302,63,-0.2670861210112908
Lunar_Tithi,Tithi,9,9892.63492063492,63,-0.054441455700337996
Lunar_Tithi,Tithi,10,9923.155172413793,58,0.253905474659884
Lunar_Tithi,Tithi,11,9889.241935483871,62,-0.0887208765800859
Lunar_Tithi,Tithi,12,9893.655737704918,61,-0.044128113193419326
Lunar_Tithi,Tithi,13,9899.785714285714,56,0.0178032062322279
Lunar_Tithi,Tithi,14,9893.935483870968,62,-0.04130183010091401
Lunar_Tithi,Tithi,15,9864.59649122807,57,-0.3377144674160755
Lunar_Tithi,Tithi,16,9910.360655737704,61,0.12464212614302414
Lunar_Tithi,Tithi,17,9826.116666666667,60,-0.7264771771825176
Lunar_Tithi,Tithi,18,9930.266666666666,60,0.32575309371084016
Lunar_Tithi,Tithi,19,9885.6,65,-0.12551544941512727
Lunar_Tithi,Tithi,20,9911.827586206897,58,0.13946256440495497
Lunar_Tithi,Tithi,21,9847.1,60,-0.5144819921841567
Lunar_Tithi,Tithi,22,9903.467741935483,62,0.055002831305233355
Lunar_Tithi,Tithi,23,9896.557377049181,61,-0.014812772307685535
Lunar_Tithi,Tithi,24,9922.296875,64,0.24523407264142044
Lunar_Tithi,Tithi,25,9909.122807017544,57,0.1121361069962226
Lunar_Tithi,Tithi,26,9927.25,60,0.29527562867136453
Lunar_Tithi,Tithi,27,9961.460317460318,63,0.6409033925563222
Lunar_Tithi,Tithi,28,9886.555555555555,63,-0.11586144575622526
Lunar_Tithi,Tithi,29,9913.066666666668,60,0.15198102785040166
