System,Planet,Sign,Avg_Births,Days_Count,Deviance_Pct
Vedic,Mars,Aquarius,10337.258461538462,1300,-0.9392915109830409
Vedic,Mars,Aries,10278.941903584673,1618,-1.4981320942031495
Vedic,Mars,Cancer,10572.895506792058,1914,1.3187900428379293
Vedic,Mars,Capricorn,10232.299163179916,1434,-1.94510388344067
Vedic,Mars,Gemini,10496.858932461873,1836,0.590140667159566
Vedic,Mars,Leo,10627.829007633587,1965,1.8452111953505472
Vedic,Mars,Libra,10535.56374269006,1710,0.9610442232041962
Vedic,Mars,Pisces,10294.728531855955,1444,-1.3468507281596802
Vedic,Mars,Sagittarius,10302.011404133998,1403,-1.2770598362726053
Vedic,Mars,Scorpio,10400.498086734693,1568,-0.33327376461180547
Vedic,Mars,Taurus,10368.65675990676,1716,-0.6384053821041218
Vedic,Mars,Virgo,10602.705785123966,1815,1.604458366097995
Tropical,Jupiter,Aquarius,10130.874033149172,1810,-2.917048744529196
Tropical,Jupiter,Aries,10096.083766233765,1540,-3.250439701327354
Tropical,Jupiter,Cancer,10749.178933153275,1481,3.0080929827989222
Tropical,Jupiter,Capricorn,10186.86846361186,1855,-2.3804608306533024
Tropical,Jupiter,Gemini,10631.818387339865,1327,1.8834409427836751
Tropical,Jupiter,Leo,10805.66688741722,1510,3.5494102760930226
Tropical,Jupiter,Libra,10699.751182033096,1692,2.534432769774227
Tropical,Jupiter,Pisces,10103.377029464822,1663,-3.1805492341833363
Tropical,Jupiter,Sagittarius,10322.286087866109,1912,-1.0827699728270639
Tropical,Jupiter,Scorpio,10520.713624678663,1945,0.8187373227017305
Tropical,Jupiter,Taurus,10322.082327892122,1409,-1.0847225802287217
Tropical,Jupiter,Virgo,10791.790373654212,1579,3.41643330837614
Vedic,Jupiter,Aquarius,10019.87746031746,1575,-3.9807155944461576
Vedic,Jupiter,Aries,10428.908262849707,1537,-0.0610224530360865
Vedic,Jupiter,Cancer,10737.97434252726,1559,2.9007207341633663
Vedic,Jupiter,Capricorn,10055.530813953488,1720,-3.639053781080922
Vedic,Jupiter,Gemini,10641.205863192183,1535,1.9733999983992543
Vedic,Jupiter,Leo,10805.07156428119,1579,3.5437053658545534
Vedic,Jupiter,Libra,10571.590743629746,1923,1.306286653883313
Vedic,Jupiter,Pisces,10107.840106595602,1501,-3.1377801011234268
Vedic,Jupiter,Sagittarius,10186.27483801296,1852,-2.386149473596984
Vedic,Jupiter,Scorpio,10378.581950207468,1928,-0.543293473396934
Vedic,Jupiter,Taurus,10611.025856044724,1431,1.6841886082270532
Vedic,Jupiter,Virgo,10747.085281111813,1583,2.988029766296372
Tropical,Saturn,Aquarius,10509.24387755102,1960,0.7088241111010313
Tropical,Saturn,Aries,10797.184983677911,919,3.468129209466151
Tropical,Saturn,Cancer,9943.648648648648,1591,-4.711207157492996
Tropical,Saturn,Capricorn,10632.748051948052,1925,1.8923498072651885
Tropical,Saturn,Gemini,10120.686379928315,1674,-3.0146758039331383
Tropical,Saturn,Leo,10071.335377069283,1631,-3.487600547572721
Tropical,Saturn,Libra,10508.359466666667,1875,0.7003489076294923
Tropical,Saturn,Pisces,10517.783831282952,1138,0.7906614638475233
Tropical,Saturn,Sagittarius,10668.830035514968,1971,2.2381191298690997
Tropical,Saturn,Scorpio,10563.904204364024,1879,1.232627469649495
Tropical,Saturn,Taurus,10590.678546471,1431,1.4892027800485317
Tropical,Saturn,Virgo,10371.281087333718,1729,-0.6132567670057482
Vedic,Saturn,Aquarius,10522.13024911032,1405,0.8323126647892756
Vedic,Saturn,Aries,10624.64003164557,1264,1.8146516207880197
Vedic,Saturn,Cancer,10115.809405940594,1616,-3.0614112609504547
Vedic,Saturn,Capricorn,10474.408740359897,1945,0.37500316783023835
Vedic,Saturn,Gemini,10006.52105593966,1591,-4.108708416281225
Vedic,Saturn,Leo,10237.551685393259,1780,-1.8947695928022035
