name,birth_date,event_year,event_type,age,prog_sun,prog_moon,natal_sun,natal_moon,sun_movement,moon_movement,mercury_movement,venus_movement,mars_movement,sun_sign_change,moon_sign_change,mercury_sign_change,venus_sign_change,mars_sign_change,hard_aspects,soft_aspects
Clint Eastwood,1930-05-31,1953,marriage,23,91.49920207144845,53.395425333104136,69.51807575061709,116.8584869623379,21.981126320831365,296.5369383707662,16.73142089123111,27.496941960677745,16.95591582028142,True,True,True,True,True,5,4
Clint Eastwood,1930-05-31,1964,career,34,101.99155695801055,211.45586123223913,69.51807575061709,116.8584869623379,32.47348120739346,94.59737426990122,35.78281801241579,40.47945381565039,24.86728975992194,True,True,True,True,True,7,5
Clint Eastwood,1930-05-31,1984,divorce,54,121.0704202428064,105.00940483729332,69.51807575061709,116.8584869623379,51.55234449218932,348.15091787495544,77.49625317147381,63.68788194003169,38.869563206426406,True,False,True,True,True,6,3
Clint Eastwood,1930-05-31,1992,career,62,128.72098081319763,221.3340064703312,69.51807575061709,116.8584869623379,59.20290506258054,104.47551950799328,92.15213384956762,72.79468204443198,44.317693030914725,True,True,True,True,True,3,6
Steven Spielberg,1946-12-18,1975,career,29,295.78839947443504,235.1682043233872,266.2385405067193,214.32727904243097,29.54985896771575,20.840925280956213,44.039017459254126,20.31749074913938,22.225051635833267,True,False,True,True,False,3,5
Steven Spielberg,1946-12-18,1982,career,36,302.915195145174,318.5961279814157,266.2385405067193,214.32727904243097,36.67665463845469,104.26884893898472,55.65529076508216,26.99674385013992,27.666410024929917,True,True,True,True,False,7,3
Steven Spielberg,1946-12-18,1985,marriage,39,305.96641713779906,356.29189254641176,266.2385405067193,214.32727904243097,39.727876631079766,141.9646135039808,60.77936081128081,29.97902680611577,30.005339931158517,True,True,True,True,True,9,3
Steven Spielberg,1946-12-18,1989,divorce,43,310.0303884489343,49.70374023772818,266.2385405067193,214.32727904243097,43.791847942214986,195.3764611952972,67.74470689772659,34.048672442113286,33.129370995311035,True,True,True,True,True,12,2
Steven Spielberg,1946-12-18,1991,marriage,45,312.0603190844837,78.17969990407647,266.2385405067193,214.32727904243097,45.821778577764405,223.8524208616455,71.27665221850657,36.11954258182362,34.69356967330975,True,True,True,True,True,10,2
Steven Spielberg,1946-12-18,1993,career,47,314.08881049002395,107.70458592706747,266.2385405067193,214.32727904243097,47.850269983304656,253.37730688463648,74.83143056515121,38.21245240971365,36.25911329387287,True,True,True,True,True,9,4
Martin Scorsese,1942-11-17,1967,career,25,259.838272709311,321.22190171399933,234.51191335712625,352.0692245748969,25.326359352184767,329.1526771391024,39.466612919144126,31.423957203430547,17.234681434131346,True,True,True,True,False,8,2
Martin Scorsese,1942-11-17,1976,career,34,268.9963251569974,76.690175508286,234.51191335712625,352.0692245748969,34.48441179987114,84.62095093338911,53.66605572424427,42.73604345270368,23.535798819074103,True,True,True,True,True,4,2
Martin Scorsese,1942-11-17,1965,marriage,23,257.8044980292693,291.9730721725445,234.51191335712625,352.0692245748969,23.29258467214308,299.9038475976476,36.321879975320286,28.909327260022764,15.841098549341922,True,True,True,True,False,7,6
Martin Scorsese,1942-11-17,1971,divorce,29,263.9073492082978,15.091426534102109,234.51191335712625,352.0692245748969,29.395435851171527,23.022201959205177,45.76948258299231,36.45229691138084,20.028964617634472,True,True,True,True,True,3,2
Martin Scorsese,1942-11-17,1976,marriage,34,268.9963251569974,76.690175508286,234.51191335712625,352.0692245748969,34.48441179987114,84.62095093338911,53.66605572424427,42.73604345270368,23.535798819074103,True,True,True,True,True,4,2
Martin Scorsese,1942-11-17,1977,divorce,35,270.0144854212733,88.63092232625833,234.51191335712625,352.0692245748969,35.502572064147074,96.56169775136141,55.244343990578926,43.99258706078675,24.23909736498092,True,True,True,True,True,3,3
Martin Scorsese,1942-11-17,1979,marriage,37,272.05117761301995,112.32758768944807,234.51191335712625,352.0692245748969,37.5392642558937,120.25836311455117,58.393992949161856,46.505469731501904,25.64765158113198,True,True,True,True,True,2,8
Martin Scorsese,1942-11-17,1983,divorce,41,276.12604802841304,159.99366498828567,234.51191335712625,352.0692245748969,41.61413467128679,167.92444041338877,64.62703898447162,51.53041718049374,28.47263026803384,True,True,True,True,True,3,9
Martin Scorsese,1942-11-17,1985,marriage,43,278.16422401858995,184.9050206660119,234.51191335712625,352.0692245748969,43.6523106614637,192.835796091115,67.67681145920469,54.04250190723357,29.889083672952495,True,True,True,True,True,3,9
Martin Scorsese,1942-11-17,1991,divorce,49,284.2813573363935,269.63333140542744,234.51191335712625,352.0692245748969,49.769443979267265,277.56410683053053,76.18742848300425,61.577337953809746,34.154392607971914,True,True,True,True,True,6,6
Martin Scorsese,1942-11-17,1999,marriage,57,292.4361978147577,24.50114240726071,234.51191335712625,352.0692245748969,57.924284457631444,32.43191783236381,83.62341757275462,71.61651049570557,39.87579411546548,True,True,True,True,True,6,6
Quentin Tarantino,1963-03-27,1992,career,29,34.36439903005184,54.91630032142761,5.8962362244017275,31.30000209392272,28.468162805650117,23.616298227504892,52.34707652165782,34.6296373949279,7.124842314561661,True,False,True,True,False,11,4
