planet,star,orb,cosine,name,category
Mercury,Aldebaran,0.9316023115858769,0.9998678167923654,Levon Helm,cancer
Sun,Sirius,1.4898328791356334,0.999661954329252,Robbie Robertson,disease
Mercury,Betelgeuse,0.4424269337561526,0.9999701869988308,Robbie Robertson,disease
Moon,Aldebaran,0.11967696717640308,0.9999978185476482,Doug Sahm,cardiac
Sun,Rigel,0.2433946493109147,0.9999909771000922,Clarence White,accident
Venus,Aldebaran,1.3845208335556833,0.9997080539545039,Clarence White,accident
Saturn,Betelgeuse,0.4106210370213432,0.9999743193937748,Clarence White,accident
Uranus,Aldebaran,0.4328007934337563,0.9999714701971212,Clarence White,accident
Ketu,Altair,1.9895516544426073,0.9993971746054777,Clarence White,accident
Mercury,Antares,0.7360904414032916,0.9999174758380845,Gene Clark,disease
Uranus,Aldebaran,1.9399339942798122,0.9994268647010907,Gene Clark,disease
Mercury,Rigel,0.799574220251003,0.9999026277382665,Michael Clarke,disease
Venus,Sirius,1.6281962659558786,0.999596253266212,Michael Clarke,disease
Uranus,Rigel,0.40524433227446366,0.9999749875157524,Michael Clarke,disease
Moon,Algol,1.079955411756142,0.9998223670485819,Skip Battin,disease
Jupiter,Spica,0.8349693451731923,0.9998938162360451,Skip Battin,disease
Uranus,Algol,1.7670297843219984,0.9995244698516155,Skip Battin,disease
Mars,Sirius,1.2619368928674106,0.9997574605113994,Randy Meisner,disease
Uranus,Rigel,0.03978976049559435,0.9999997588610463,JD Souther,natural
Sun,Altair,1.8869283044769531,0.9994577540903143,Warren Zevon,cancer
Uranus,Rigel,1.3414491348564184,0.9997259351616667,Warren Zevon,cancer
Rahu,Aldebaran,0.9278207097725613,0.9998688877189069,Warren Zevon,cancer
Ketu,Antares,0.8778207097725783,0.9998826378952078,Warren Zevon,cancer
Uranus,Sirius,1.991150471921955,0.9993962054444149,Dan Fogelberg,cancer
Saturn,Aldebaran,1.2582952623897938,0.9997588582506178,Harry Chapin,accident
Rahu,Regulus,1.0192680857417997,0.999841769522535,Harry Chapin,accident
Venus,Altair,0.8320418643712628,0.9998945594981608,Jim Croce,accident
Jupiter,Deneb Algedi,0.27188339637751824,0.9999887412727655,Gordon Lightfoot,natural
