name,birth_date,death_date,age_at_death,cause,sun_sign,sun_element,sun_saturn_hard,moon_saturn_hard,mars_sign,sun_neptune_aspect,cos_return_Sun,angle_return_Sun,cos_return_Moon,angle_return_Moon,cos_return_Mercury,angle_return_Mercury,cos_return_Venus,angle_return_Venus,cos_return_Mars,angle_return_Mars,cos_return_Jupiter,angle_return_Jupiter,cos_return_Saturn,angle_return_Saturn,cos_return_Uranus,angle_return_Uranus,cos_return_Neptune,angle_return_Neptune,cos_return_Pluto,angle_return_Pluto,cos_return_North Node,angle_return_North Node,birth_doy,death_doy,days_from_birthday
Cyd Charisse,1922-03-08 12:00:00,2008-06-17,86.27515400410678,cardiac,Pisces,Water,False,True,Sagittarius,False,-0.1653471645937063,99.51740255312745,-0.9043174596472168,154.73151266744486,-0.39198460147477754,113.07804358878985,-0.08956850100100425,95.13878376364062,-0.2914616591618511,253.0545162977008,-0.0510646187096777,92.92706017367166,0.846651810064862,327.84934794255435,0.9759232878448089,12.598285842381529,-0.983617731641115,190.38530680357695,-0.9901165531168488,171.93786269471843,-0.6595884255386817,131.2684913351511,67,169,102
Ann Miller,1923-04-12 12:00:00,2004-01-22,80.77754962354551,cancer,Aries,Fire,True,False,Taurus,False,0.17770175986576905,280.2359223431332,0.8623605400017855,329.58266638221704,-0.29711504504693226,252.71559183847415,0.997744129689012,356.1507477614671,0.8185724822485831,324.9421480074725,0.5228321400501372,301.52241830924953,-0.14515046626431077,261.6540075483227,0.9679063402942768,345.4448845210885,-0.9986424861413109,177.0142124107839,-0.9514103442873794,162.06572034058922,-0.5358855847149997,237.59601046219444,102,22,80
Vera-Ellen,1921-02-16 12:00:00,1981-08-30,60.53114305270363,cancer,Aquarius,Air,False,False,Aries,False,-0.985646125095542,189.71948077942233,-0.1966813752881554,101.34296162159485,-0.9869373286467373,189.27102005571336,-0.999987972955697,180.2810072474255,-0.43617896233951686,115.86033683455292,0.9040819364817905,25.300082208654118,0.9648257929986634,15.241618057177249,-0.15318197909545986,261.1886278028244,-0.6444288287970537,130.12286451352878,-0.2670996889700101,105.49175407190087,-0.014236849050869822,269.18426107750673,47,242,170
Betty Hutton,1921-02-26 12:00:00,2007-03-11,86.03148528405202,disease,Pisces,Water,False,False,Aries,False,0.9737171525004172,13.165266739264212,0.7485881172784096,41.53177617609367,0.9387303006508261,339.83940866797445,0.999912262767374,359.24101573634374,0.5020380568946824,300.13492860996104,-0.06876660160750715,93.94314797387031,0.8382911273942478,326.96010441132387,0.9868929369197059,9.286794370768064,-0.987902827012253,188.92109904925198,-0.9901492479751386,171.9512306950519,-0.7190737884210354,135.97806354827955,57,70,13
Dorothy McGuire,1916-06-14 12:00:00,2001-09-13,85.2457221081451,cardiac,Gemini,Air,False,False,Virgo,False,0.040219795639735136,87.69495371914155,-0.6112296231527281,232.32153407448567,-0.5802138644988865,125.46558613405242,0.8558705949418204,31.143952151792988,-0.4096139665558914,114.18058709269448,0.27747935864861556,73.89017760253122,0.8508988007424497,328.30956287829895,0.9992367906188105,2.2386546707160164,-0.9956333795838685,185.3563446138353,-0.9402412221044872,160.09210604212535,-0.8760419316375492,151.1685287444978,166,256,90
Teresa Wright,1918-10-27 12:00:00,2005-03-06,86.35455167693361,cardiac,Scorpio,Water,False,False,Sagittarius,True,-0.6788237372751262,132.75179396496534,-0.943151476464053,160.5877253595845,-0.7812738437262651,141.37735574850058,-0.687988113024867,133.47106082697627,0.8582659221838089,30.87756526104897,-0.026434176010216644,91.51474316364799,0.8095892293550436,324.05581741008814,0.9724914678517594,13.470135519232144,-0.9926648443528485,186.9439745898726,-0.9774905603912122,167.82026053805313,-0.6391015296531299,129.72485541001726,300,65,130
Jane Wyman,1917-01-05 02:00:00,2007-09-10,90.67488021902807,natural,Capricorn,Earth,False,False,Capricorn,False,-0.45053132358961506,243.22222176931865,0.04844989311161553,87.22293840793577,-0.43319520624213564,244.32949246319893,-0.5065565373487488,239.56526660392566,-0.8106824445283751,144.16266177546183,-0.6962376775464668,225.87407365484145,0.8403968084391538,32.817954639441,0.8752640770637897,28.923755519979977,-0.9617961305096756,195.88853072467828,-0.9928371214919766,173.13815352481294,0.6928330173810409,46.1452127502219,5,253,117
Patricia Neal,1926-01-20 05:30:00,2010-08-08,84.5448323066393,cancer,Capricorn,Earth,False,False,Sagittarius,False,-0.9591785176876929,196.42746600147652,-0.04155721109344516,92.38173868423215,-0.4943219202673181,240.3749530720164,-0.8149586433187425,215.41672716028364,0.33899310329466514,289.8155403599345,0.5051896862344165,59.65605503332034,0.6043922626433667,307.18512222687787,0.9912849496459807,7.569871266862663,-0.9980591738539557,183.57027125384076,-0.9840942506904273,169.76725783900213,-0.9646879629410953,164.72837130819758,20,220,165
Kim Stanley,1925-02-11 12:00:00,2001-08-20,76.51745379876797,cancer,Aquarius,Air,False,False,Taurus,False,-0.9957861449579346,185.2617480468702,0.996628048846552,355.2934749110983,-0.8184645969354951,215.06861193536082,-0.9770157953399995,167.69199330239945,-0.675161639077953,227.533296335619,-0.9971885554421062,175.7026156877806,-0.8702525800544587,209.51199579509068,0.8895719087955898,332.81950234221296,-0.9687706868050788,165.64326776147286,-0.8728838233742539,150.79550765677607,0.7659624495731281,319.9926919451522,42,232,175
Geraldine Page,1924-11-22 12:00:00,1987-06-13,62.55167693360712,cardiac,Scorpio,Water,False,False,Pisces,True,-0.9269714871155953,202.03245867773416,-0.21139619211157984,102.20418522156768,-0.870059227157417,209.5344771941323,-0.778635460388262,218.8641913269191,-0.5060269331666809,120.39954622869573,-0.48357140764442413,118.91891725677328,0.7719258204035679,39.47285778627875,0.12622014270406454,277.2512229351725,-0.7001658472600534,134.44031146442873,-0.4100110676309629,114.20553005454302,-0.6412601288931625,230.1141515586213,327,164,163
