month,temp_anomaly,sun_deg_tropical,mars_deg_tropical,moon_deg_tropical,sun_mars_angle_tropical,lunar_day_tropical,sun_deg_vedic_lahiri,mars_deg_vedic_lahiri,moon_deg_vedic_lahiri,sun_mars_angle_vedic_lahiri,lunar_day_vedic_lahiri
1994-07,0.23,112.77724476857529,68.14001452634793,195.56978144575322,44.63723024222736,7,88.99253202675345,44.355301784526084,171.78506870393136,44.63723024222737,7
1995-07,0.54,112.5455837689543,176.561608160722,334.34107523052404,64.01602439176769,19,88.74801995360102,152.76404434536866,310.54351141517077,64.01602439176764,19
1996-07,0.28,113.26597678083175,83.02235816129254,111.33166904257203,30.243618619539205,30,89.45595207591967,59.212333456380485,87.52164433765996,30.243618619539184,30
1997-07,0.26,113.03365879641743,192.7704815488211,232.90688463163863,79.73682275240367,10,89.21142200488381,168.9482447572875,209.08464784010508,79.7368227524037,10
1998-07,0.6,112.80467473608849,96.14372427897212,7.804981584659275,16.66095045711637,22,88.96999337152121,72.30904291440486,343.970300220092,16.660950457116357,22
1999-07,0.47,112.5748254780047,213.8257132529605,144.48947868902567,101.2508877749558,3,88.72740032343982,189.97828809839564,120.6420535344608,101.25088777495581,3
2000-07,0.32,113.29366790898041,109.2152087719036,281.5789291956303,4.0784591370768055,15,89.43319451997304,85.35473538289624,257.7184558066229,4.0784591370768055,15
2001-07,0.46,113.0607557772434,255.24818584792547,43.21116315310719,142.18743007068207,25,89.18681014028411,231.37424021096612,19.337217516147874,142.187430070682,25
2002-07,0.68,112.83333672069368,121.19462419477415,180.20846286497328,8.36128747408047,6,88.94517826767287,97.30646574175333,156.32030441195246,8.361287474080456,6
2003-07,0.71,112.60282573195146,338.88585558150254,314.6879792021161,133.7169701504489,17,88.69995938325675,314.9829892328079,290.7851128534214,133.71697015044887,17
2004-07,0.62,113.32402915470368,133.62509872644705,91.64188143472423,20.30106957174337,29,89.40615052069569,109.70722009243904,67.72400280071622,20.301069571743355,29
2005-07,0.77,113.0960446969929,22.27699027012551,213.3195326329773,90.8190544268674,9,89.16290748456257,358.3438530576952,189.38639542054702,90.81905442686741,9
2006-07,0.6,112.87015960703839,145.4800055991363,352.42341933822325,32.6098459920979,20,88.92139039633159,121.53123638842952,328.47465012751644,32.60984599209793,20
2007-07,0.92,112.64287826368023,44.65401850338154,125.1939002158731,67.98885976029868,2,88.67854881184775,20.689689051549074,101.22957076404063,67.98885976029868,2
2008-07,0.28,113.36539081488993,158.30468616353897,261.86694322027654,44.93929534864904,13,89.38579074316561,134.32508609181463,237.88734314855216,44.93929534864901,13
