date,sum_p,count_p,sum_t,count_t,avg_prcp,avg_tmax
1972-04-15,13434.0,1206.0,193778.0,811.0,11.139303482587065,238.93711467324292
1972-04-16,10730.0,1198.0,218879.0,893.0,8.956594323873121,245.10526315789474
1972-04-17,13239.0,1198.0,223783.0,898.0,11.050918196994992,249.20155902004456
1972-04-18,10832.0,1207.0,220736.0,894.0,8.974316487158244,246.9082774049217
1972-04-19,13403.0,1206.0,221064.0,898.0,11.113598673300165,246.17371937639197
1972-04-20,15614.0,1206.0,226459.0,893.0,12.9469320066335,253.59350503919373
1972-04-21,7693.0,1207.0,213786.0,856.0,6.373653686826843,249.75
1972-04-22,30034.0,1172.0,187147.0,808.0,25.62627986348123,231.61757425742573
1972-04-23,30873.0,1139.0,189872.0,885.0,27.105355575065847,214.5446327683616
1972-04-24,42216.0,1152.0,167417.0,821.0,36.645833333333336,203.9183922046285
1972-04-25,17528.0,1198.0,184258.0,890.0,14.631051752921536,207.0314606741573
1972-04-26,10353.0,1199.0,194356.0,897.0,8.634695579649708,216.67335562987736
1972-04-27,17886.0,1206.0,201653.0,897.0,14.83084577114428,224.8082497212932
1972-04-28,8227.0,1207.0,201228.0,861.0,6.816072908036454,233.71428571428572
1972-04-29,7247.0,1203.0,198023.0,812.0,6.024106400665004,243.8706896551724
1972-04-30,9438.0,1203.0,213710.0,865.0,7.8453865336658355,247.0635838150289
1972-05-01,7804.0,1203.0,220377.0,890.0,6.487115544472153,247.61460674157303
1972-05-02,13633.0,1202.0,224688.0,896.0,11.341930116472545,250.76785714285714
1972-05-03,11315.0,1203.0,223404.0,892.0,9.405652535328345,250.45291479820628
1972-05-04,10286.0,1204.0,220239.0,888.0,8.543189368770765,248.0168918918919
1972-05-05,8920.0,1203.0,206190.0,855.0,7.414796342477141,241.1578947368421
1972-05-06,16282.0,1191.0,192659.0,806.0,13.670864819479428,239.03101736972704
1972-05-07,19270.0,1182.0,211573.0,886.0,16.302876480541457,238.7957110609481
1972-05-08,13991.0,1187.0,211690.0,892.0,11.786857624262847,237.32062780269058
