name,profession,north_node_lon,south_node_lon,sun_lon,moon_lon,north_node_sign,north_node_sign_id,nn_house_from_sun_equal,nn_house_from_moon_equal,sn_house_from_sun_equal,sn_house_from_moon_equal,nn_house_from_sun_whole,nn_house_from_moon_whole,sn_house_from_sun_whole,sn_house_from_moon_whole
Marc Chagall,artist,139.24473676304217,319.24473676304217,104.99817017314064,310.6615687624966,Leo,4,2,7,8,1,2,7,8,1
Rene Magritte,artist,279.4057491820374,99.40574918203743,239.2406892310022,339.3155470713178,Capricorn,9,2,11,8,5,3,11,9,5
Roy Lichtenstein,artist,160.0249140882467,340.0249140882467,213.03886144048246,62.73451505780854,Virgo,5,11,4,5,10,11,4,5,10
Jean-Michel Basquiat,artist,158.69946425785665,338.6994642578567,270.66097851585994,327.1341171224299,Virgo,5,9,7,3,1,9,8,3,2
Keith Haring,artist,211.27272538471215,31.272725384712146,43.51444464237293,237.11982884658528,Scorpio,7,6,12,12,6,7,1,1,7
Banksy,artist,258.56150185916437,78.56150185916437,125.03553314632919,242.58673826780836,Sagittarius,8,5,1,11,7,5,1,11,7
Damien Hirst,artist,73.81841700582068,253.81841700582066,76.51354286700078,179.15939563108589,Gemini,2,12,9,6,3,1,10,7,4
Jeff Koons,artist,275.4815602396614,95.4815602396614,300.6774006408451,271.44629439867947,Capricorn,9,12,1,6,7,12,1,6,7
Yayoi Kusama,artist,52.57967736931259,232.5796773693126,1.381522616487573,145.922059865282,Taurus,1,2,9,8,3,2,10,8,4
Marina Abramovic,artist,71.75523031476337,251.75523031476337,247.68746679149305,321.4645672588918,Gemini,2,7,4,1,10,7,5,1,11
Ai Weiwei,artist,222.93226650052623,42.932266500526225,154.902858016534,197.51614833548274,Scorpio,7,3,1,9,7,3,2,9,8
Auguste Rodin,artist,322.90871495523606,142.90871495523606,230.2180421995033,88.83206677928546,Aquarius,10,4,8,10,2,4,9,10,3
Henry Moore,artist,287.65471607370324,107.65471607370324,127.28817667166749,269.65475152044235,Capricorn,9,6,1,12,7,6,2,12,8
Constantin Brancusi,artist,359.4611150015779,179.46111500157792,330.23479358770976,265.1837872471393,Pisces,11,1,4,7,10,1,4,7,10
Alberto Giacometti,artist,223.75698790186763,43.75698790186766,196.4789552925339,173.66076027062707,Scorpio,7,1,2,7,8,2,3,8,9
Alexander Calder,artist,287.6762606757281,107.67626067572809,119.64194902942872,160.6997984252064,Capricorn,9,6,5,12,11,7,5,1,11
Louise Bourgeois,artist,28.39155562324491,208.3915556232449,272.59526499385834,325.3270966258394,Aries,0,4,3,10,9,4,3,10,9
Isamu Noguchi,artist,166.11557496032052,346.1155749603205,234.73011274303258,351.5197560091298,Virgo,5,10,6,4,12,11,7,5,1
Barbara Hepworth,artist,200.9126093300828,20.912609330082773,289.08769893890513,65.30153938742093,Libra,6,10,5,4,11,10,5,4,11
