name,profession,Sun_lon,Sun_sign,Moon_lon,Moon_sign,Mercury_lon,Mercury_sign,Venus_lon,Venus_sign,Mars_lon,Mars_sign,Jupiter_lon,Jupiter_sign,Saturn_lon,Saturn_sign,kmeans_cluster,hier_cluster,kmeans_prof_cluster,PC1,PC2
Elton John,entertainer,3.588238885228952,0,33.74523025725648,1,339.5559582306404,11,323.11191551835634,10,346.0331968694304,11,237.3863960362281,7,122.0355506053064,4,1,0,1,0.9124908966442236,1.4746652081780736
Stevie Wonder,entertainer,52.33328122877865,1,15.979702065934893,0,54.00204516779348,1,8.668029009615092,0,172.60881748410415,5,334.467724844965,11,162.58207592379375,5,0,1,7,-2.266062297997427,1.6935259852723752
Billy Joel,entertainer,48.42086849572591,1,185.12929119907994,6,69.7407864414187,2,54.31112409922031,1,36.93861731755107,1,301.97268514673203,10,149.36897274175539,4,0,1,4,-2.2416834691706096,0.6679887586655338
Eric Clapton,entertainer,9.286415732425068,0,206.99009734504523,6,26.901265555636606,0,33.08802733503219,1,334.0513563096218,11,170.45391879241456,5,94.3829286592035,3,0,1,7,-2.2299011839951426,1.5683477047119823
Jimi Hendrix,entertainer,244.53976738845614,8,114.63872723006408,3,242.48865706132077,8,247.23265143909848,8,227.32404072672114,7,114.87429575305887,3,69.39689245295963,2,1,0,2,0.9436894448247282,0.053920407667841876
Kurt Cobain,entertainer,331.4673055237564,11,98.67417818485782,3,348.3341207336659,11,356.1288493024407,11,211.74623724454415,7,115.72306759228601,3,358.6869327395357,11,1,0,2,2.7000989810429865,-1.3886026195190373
Jim Morrison,entertainer,255.52334864069286,8,36.98120549980803,1,270.63361329060865,9,210.19531119395594,7,71.72397146316068,2,147.01319152776958,4,83.75902769153444,2,1,0,3,0.5839155004996283,-0.5727851272168145
Janis Joplin,entertainer,298.44988259633004,9,96.34490492119639,3,309.6256127678333,10,313.77771822349706,10,264.6531754674889,8,109.11071868925669,3,65.88632888697924,2,1,0,2,2.019230826457704,0.032868134232949875
Steven Spielberg,entertainer,266.2385405067193,8,214.32727904243097,7,247.51393028515332,8,229.16823657793822,7,270.9867736759151,9,227.8971642734819,7,128.16847082262038,4,1,0,5,1.3347680420200696,0.8128212425783752
Martin Scorsese,entertainer,234.51191335712625,7,352.0692245748969,11,226.70436711097497,7,234.75870911580492,7,220.52924574106842,7,115.1984055114586,3,70.18897059788488,2,1,0,5,0.877710938141068,-0.06460629554753958
Francis Ford Coppola,entertainer,16.352891573305584,0,233.34614271067423,7,9.701951114820032,0,337.92920242240643,11,279.1102273797382,9,352.55674431832267,11,20.413734740163942,0,0,1,7,-0.7402342932497108,2.7369566259190985
Quentin Tarantino,entertainer,5.8962362244017275,0,31.30000209392272,1,2.2117972098308756,0,326.73896116025986,10,125.98762844848933,4,358.1165478542755,11,319.59952923656084,10,0,1,4,-1.2026437054336152,1.0150659577031635
Christopher Nolan,entertainer,126.90393045107696,4,96.5185830506568,3,148.88770387676266,4,170.25699692354343,5,127.85224920893256,4,208.04267658970903,6,51.48976657211733,1,0,0,6,-0.7855651888549373,0.59932058981831
James Cameron,entertainer,143.07749801467943,4,350.01413106823287,11,137.43833676666108,4,188.08225683644235,6,267.7604728365156,8,108.64085027524224,3,213.9719938975611,7,0,1,0,-0.15549640889053487,-0.1326946122715641
Ridley Scott,entertainer,247.87607168908943,8,221.13592719192832,7,265.05010187320454,8,232.1454231524719,7,313.9602038922949,10,295.93492435839187,9,358.35224771744544,11,1,0,5,1.6785450525005075,0.6718510043562834
Alfred Hitchcock,entertainer,140.47954871055015,4,218.59707893678564,7,150.91158498668815,5,131.27800298546512,4,184.7265211390694,6,213.41020916697462,7,257.12582287808294,8,0,1,0,-0.5304436916478266,0.11610143484430352
Stanley Kubrick,entertainer,123.22233980004067,4,233.81345610395792,7,104.23601611648259,3,130.09711932918455,4,51.02106705787121,1,38.48999973887924,1,252.86496267372812,8,0,1,0,-1.3991182720845339,-1.7512172890718765
Woody Allen,entertainer,248.83387511761626,8,321.1995173727437,10,244.188562684875,8,202.67342570027103,6,295.9462710047551,9,245.07556818163053,8,334.00941750958407,11,1,0,5,1.3729179785934766,0.29173001308735175
Clint Eastwood,entertainer,69.51807575061709,2,116.8584869623379,3,53.835926718536015,1,97.89445806946937,3,28.204649982795218,0,84.00569865279415,2,280.65251701202305,9,0,1,4,-2.204463828966779,-1.4274020741409132
Tim Burton,entertainer,151.77716409974215,5,287.8445350939221,9,148.37327781670987,4,131.52589582760646,4,49.93457276320776,1,207.78836390396194,6,259.0976636069711,8,0,1,0,-0.7724755983765166,-0.6778897913415051
David Fincher,entertainer,154.6973540120724,5,136.60896577910742,4,178.40440493932076,5,200.73730274045127,6,93.84683701343104,3,338.12328476250474,11,306.1372908336852,10,0,0,1,-0.06668401043606485,0.3204716943863465
Denis Villeneuve,entertainer,189.58807417755077,6,184.6554660952697,6,214.21465627221673,7,150.73480927469467,5,255.92081618281765,8,147.18469996867813,4,8.969933338840287,0,1,0,6,0.10986955767760989,0.772843338151244
Wes Anderson,entertainer,40.92901596443647,1,211.29232501303434,7,61.155218590271836,2,10.55029573102031,0,256.66043240235797,8,176.82163205492844,5,30.197507395826925,1,0,1,7,-2.2003933835901712,1.3685047878325818
Greta Gerwig,entertainer,131.54667062171615,4,72.16505867228105,2,154.68623235641337,5,159.48735429640283,5,114.02100097344879,3,241.1279026318369,8,208.65634815417823,6,0,0,4,-0.6923112099922699,0.1942095575252219
Kathryn Bigelow,entertainer,244.43278573110942,8,223.32313090489828,7,265.9405234871139,8,198.33844157102757,6,181.85574986550537,6,4.258710593065505,0,192.13401090693284,6,1,0,2,0.7512749235954237,-1.5086679488726558
Ava DuVernay,entertainer,151.4035457239155,5,328.0098273028096,10,133.16507046077737,4,105.63584012270887,3,156.0103496035601,5,268.4889712149767,8,79.23692667744656,2,0,1,6,-0.75359336617963,0.9927588408433712
Sofia Coppola,entertainer,53.0462315203831,1,280.8776548655083,9,27.72259891172963,0,25.12520318064472,0,305.32790113725974,10,242.711581427583,8,55.546192836664744,1,0,1,7,-1.9916974666063032,2.0047523384886845
Spike Lee,entertainer,359.61631898646874,11,237.85936178562383,7,359.35593519094,11,353.22440352932205,11,61.633417174024,2,176.52769182313907,5,254.29781800745738,8,1,0,3,2.6194174444274174,-1.4628318832984848
Oprah Winfrey,entertainer,308.73921705318065,10,241.43605360756908,8,318.7214589229931,10,308.54115887014484,10,233.43402673678438,7,76.66659868572931,2,219.0363535967377,7,1,0,2,2.1855595942635873,-1.0271648819490609
Ellen DeGeneres,entertainer,306.0414373302971,10,18.65113848291823,0,284.06904087277314,9,309.8343172198653,10,264.10616422828156,8,211.03535986191034,7,262.1326337976192,8,1,0,1,2.087009480331571,0.1253172192036991
Jimmy Fallon,entertainer,176.1706695629656,5,221.35054026142396,7,199.5226495973074,6,163.70149091840923,5,184.34586674231215,6,341.1126672179636,11,107.31900543863783,3,1,0,7,0.1361529669279489,1.4612265695437625
Jimmy Kimmel,entertainer,230.4181980025013,7,10.401893542184936,0,212.14848606301217,7,183.88577371004482,6,285.97192947511405,9,153.52200737302735,5,6.239341665415499,0,1,0,1,0.45763589380419656,1.0207931787502882
Stephen Colbert,entertainer,52.74092419574297,1,75.73188433756117,2,31.82953621817036,1,92.45919251728573,3,34.414862651291145,1,37.45570911955806,1,334.1739250632265,11,0,1,4,-2.472315675460154,-1.8534201930404088
Trevor Noah,entertainer,331.0386159312783,11,199.97505249410247,6,317.7143852920479,10,301.59782161308374,10,228.49317948017378,7,276.2569720773597,9,226.36967119620925,7,1,0,5,2.447480408070425,0.3748371199396802
John Oliver,entertainer,33.21326220589923,1,88.30334541278008,2,43.96979891416077,1,8.550138464995351,0,356.7862321291151,11,64.10743135488234,2,130.08782083376778,4,0,1,7,-2.2346662187417867,0.8037188084659085
Conan OBrien,entertainer,27.736646653217296,0,314.58755525791537,10,45.630536528963404,1,353.2175415677689,11,130.88916079616976,4,3.3779464238590884,0,321.4427290492741,10,0,1,0,-0.8865793619477434,-1.799313192965073
David Letterman,entertainer,21.49341879370517,0,276.8365265934829,9,354.7662739198821,11,344.61879351333926,11,0.22541703247203426,0,236.30495087459792,7,122.01422067588328,4,1,0,3,0.5068342433033093,-0.513872898524953
