category,cosine_metric,,
military,-0.32140981165084400,,
military,-3.140121350089860,,
military,2.8765487692383400,,
military,-1.056767303618950,,
military,7.803217059709070,,
military,2.172100411939240,,
military,-3.4725470714694700,,
military,13.417696226155000,,
military,-1.0394682987029100,,
military,4.811830421265110,,
military,9.349833729877020,,
military,2.650998772623260,,
military,8.307988255150580,,
military,5.389579244658200,,
military,-3.6824827533001300,,
military,8.140527259817730,,
military,12.509875493101700,,
military,-0.28321738649752800,,
military,-1.3633286995206900,,
military,-0.4364713420791890,,
military,2.8594801111777900,,
military,15.802626967021300,,
military,15.359530432433400,,
military,15.78523278409430,,
military,4.279031318968900,,
military,5.670150234748170,,
military,4.746661408682700,,
military,1.1897860595430100,,
military,1.0277159424575000,,
military,-2.471055129833670,,
military,-2.976661146755480,,
military,-3.3516680431649400,,
military,0.15991723307782700,,
military,3.645233638946820,,
military,-1.5342199896158200,,
military,5.3056431243462900,,
military,3.814362928647900,,
military,8.409925429677170,,
military,9.319753479425520,,
military,8.28337891961191,,
military,3.258482973139790,,
military,-2.518233426698240,,
military,3.7185507211991600,,
military,2.4837360797489900,,
military,1.3023051368007300,,
military,-3.479411310681340,,
military,-1.4966194161362700,,
military,-3.042644092581180,,
military,2.9480395009613700,,
military,1.8503548268466100,,
military,2.7659621086753800,,
military,-2.2814245346623300,,
military,-3.602883125277960,,
military,-3.71512711541291,,
military,-2.3712946442572500,,
military,14.598785670594700,,
military,1.8916104934459300,,
military,-2.9880617424172800,,
disaster,8.026993733674220,,
disaster,3.8750420210907900,,
disaster,5.9832084583384000,,
disaster,-2.0806049495440300,,
disaster,-0.7636207663998800,,
disaster,0.5088131308150240,,
disaster,0.10100861951648600,,
disaster,3.1762969852695000,,
disaster,3.6200126370717000,,
disaster,-0.07925022398693650,,
disaster,-1.0864895747379100,,
disaster,-3.460932338984090,,
disaster,-3.9453047255195500,,
disaster,-1.443245055176740,,
disaster,-2.6400211401651300,,
disaster,-3.541430907494280,,
disaster,-3.5922960307914800,,
disaster,-3.1869820119961100,,
disaster,9.524623240209890,,
disaster,-0.47656730545738400,,
disaster,2.6146128067324700,,
disaster,-3.9640417978336700,,
disaster,2.124498628809870,,
disaster,-0.734436605017295,,
disaster,2.919322328018930,,
disaster,-0.9234876025829810,,
disaster,-1.1277900269687300,,
disaster,2.3220376215981000,,
disaster,-0.23631777765404400,,
disaster,0.14452846418586100,,
disaster,-3.87402361277937,,
disaster,4.160968547502450,,
disaster,2.4782655066356000,,
disaster,-3.6477897344561500,,
disaster,16.410237014191600,,
disaster,4.283802334021180,,
disaster,-0.3282800211800460,,
disaster,7.35586520155236,,
disaster,16.695151241086400,,
disaster,6.175334702036740,,
disaster,1.8022480584747600,,
disaster,-3.9616017663918000,,
disaster,-3.977887030868650,,
disaster,7.700726649288680,,
disaster,12.232789206488200,,
disaster,5.909845940839680,,
disaster,1.082734418092910,,
disaster,14.425480408931200,,
disaster,2.2806363345013000,,
disaster,-2.0702831564414100,,
disaster,4.3499688062600400,,
disaster,1.4798010613501500,,
disaster,-1.0151550941267800,,
disaster,-1.3988834220635800,,
disaster,-3.835144694454420,,
disaster,2.9282630970929000,,
disaster,-2.4768257642806500,,
disaster,5.311115900990770,,
