vix,conjunctions,squares,oppositions,trines,sextiles,hard_aspects,soft_aspects
14.739999771118200,0,3,1,2,0,4,2
15.239999771118200,0,3,1,2,0,4,2
13.819999694824200,0,3,1,2,0,4,2
13.5600004196167,0,3,1,2,0,4,2
13.949999809265100,0,3,1,2,0,4,2
13.100000381469700,0,3,1,2,0,4,2
14.119999885559100,0,3,1,2,0,4,2
15.420000076293900,0,3,1,2,0,4,2
14.09000015258790,0,3,1,2,0,4,2
16.15999984741210,0,3,1,2,0,4,2
15.359999656677200,0,3,1,2,0,4,2
16.260000228881800,0,3,1,2,0,4,2
14.850000381469700,0,3,1,2,0,4,2
13.84000015258790,0,3,1,2,0,4,2
13.720000267028800,0,3,1,2,0,4,2
13.619999885559100,0,3,1,2,0,4,2
13.350000381469700,0,3,1,2,0,4,2
13.239999771118200,0,3,1,2,0,4,2
13.279999732971200,0,3,1,2,0,4,2
13.949999809265100,0,3,1,2,0,4,2
13.220000267028800,0,3,1,2,0,4,2
14.079999923706100,0,3,1,2,0,4,2
13.960000038147000,0,3,1,2,0,4,2
13.770000457763700,0,3,1,2,0,4,2
15.220000267028800,0,3,1,1,0,4,1
15.699999809265100,0,3,1,1,0,4,1
14.680000305175800,0,3,1,1,0,4,1
15.600000381469700,0,3,1,1,0,4,1
16.049999237060500,0,3,1,1,0,4,1
15.90999984741210,0,3,1,1,0,4,1
14.720000267028800,0,3,1,1,0,4,1
14.569999694824200,0,3,1,1,0,4,1
13.630000114440900,0,3,1,1,0,4,1
14.6899995803833,0,3,1,1,0,4,1
14.40999984741210,0,3,1,1,0,4,1
15.039999961853000,0,3,1,1,0,4,1
14.680000305175800,0,3,1,1,0,4,1
15.569999694824200,0,3,1,1,0,4,1
15.949999809265100,0,3,1,1,0,4,1
16.329999923706100,0,3,1,1,0,4,1
15.199999809265100,0,3,1,1,0,4,1
15.819999694824200,0,3,1,1,0,4,1
14.420000076293900,0,3,1,1,0,4,1
13.899999618530300,0,3,1,1,0,4,1
13.430000305175800,0,3,1,1,0,4,1
13.119999885559100,0,3,1,1,0,4,1
14.1899995803833,0,2,1,1,0,3,1
14.199999809265100,0,2,1,1,0,3,1
13.630000114440900,0,2,1,1,0,3,1
13.470000267028800,0,2,1,1,1,3,2
13.649999618530300,0,2,1,1,1,3,2
14.050000190734900,0,2,1,1,1,3,2
14.079999923706100,0,2,1,1,1,3,2
14.640000343322800,0,2,1,1,1,3,2
17.030000686645500,0,2,1,1,1,3,2
20.969999313354500,0,2,1,1,1,3,2
20.5,0,2,1,1,1,3,2
20.139999389648400,0,2,1,1,1,3,2
19.3700008392334,0,2,1,1,1,3,2
19.40999984741210,0,2,1,1,1,3,2
18.3700008392334,0,2,1,1,1,3,2
18.479999542236300,0,2,1,1,1,3,2
21.170000076293900,0,2,1,1,1,3,2
17.25,0,2,1,1,1,3,2
25.760000228881800,0,2,1,1,1,3,2
23.850000381469700,0,2,1,1,1,3,2
18.75,0,2,1,1,1,3,2
