returns,jupiter_lon,saturn_lon,mars_lon,js_separation,js_aspect_strength,mars_jupiter_aspect,js_synodic_phase
-0.006037250666760750,332.89404148294600,162.7232803249730,172.01431860647500,170.17076115797300,0.017076115797337400,0.0,170.17076115797300
0.008834889123120920,333.04570610111500,162.70198179451200,172.0060421492020,170.34372430660300,0.034372430660278100,0.0,170.34372430660300
-0.008210159538695190,333.19532220587800,162.68238443494600,172.01025816022000,170.5129377709320,0.05129377709315860,0.0,170.5129377709320
0.005518679331657510,333.34285216269600,162.66448613329400,172.0268223398660,170.67836602940200,0.06783660294021840,0.0,170.67836602940200
0.0027443000161109200,333.7725309170050,162.62096539915700,172.14917442879600,171.15156551784900,0.11515655178485500,0.0,171.15156551784900
0.0,333.91133592010400,162.6098594056760,172.21371381254800,171.30147651442800,0.13014765144278600,0.0,171.30147651442800
0.00109471577791731,334.04788012294700,162.60046666263100,172.2899002970790,171.4474134603160,0.14474134603163100,0.0,171.4474134603160
0.0,334.18213685523500,162.5927971763270,172.3775924535340,171.58933967890800,0.15893396789079500,0.0,171.58933967890800
-0.006014248487990930,334.3140805552410,162.58686100844100,172.47664490775300,171.72721954680000,0.17272195467997500,0.0,171.72721954680000
0.004400435773550540,334.69578118885400,162.5795383093330,172.84043892398300,172.11624287952100,0.21162428795212800,0.0,172.11624287952100
0.009857628856492220,334.8182176419290,162.58061201745200,172.9833815347150,172.2376056244770,0.22376056244774000,0.0,172.2376056244770
0.00433839053086249,334.9382096116140,162.58344678109900,173.13688286089900,172.3547628305150,0.23547628305144900,0.0,172.3547628305150
0.0021597736063738700,335.05572800879700,162.58804106709000,173.30076706540900,172.4676869417070,0.24676869417064900,0.0,172.4676869417070
0.006465562644740300,335.1707428650100,162.59439081409000,173.4748533423220,172.57635205092000,0.25763520509201800,0.0,172.57635205092000
-0.004282651092028520,335.5004612718090,162.62390109383100,174.05645272447700,172.87656017797800,0.2876560177978040,0.0,172.87656017797800
0.005913908642309230,335.6051603226180,162.6371955292760,174.2694611443360,172.96796479334200,0.29679647933420200,0.0,172.96796479334200
-0.0010688696629406200,335.70721116674700,162.65220434037600,174.49171833724200,173.05500682637100,0.30550068263711700,0.0,173.05500682637100
0.0,335.806591404757,162.66892070091500,174.72303141055300,173.13767070384200,0.31376707038421600,0.0,173.13767070384200
