year,is_outbreak,outbreak_name,hard_aspect_count,Jupiter-Saturn_angle,Jupiter-Saturn_aspect,Jupiter-Uranus_angle,Jupiter-Uranus_aspect,Jupiter-Neptune_angle,Jupiter-Neptune_aspect,Jupiter-Pluto_angle,Jupiter-Pluto_aspect,Saturn-Uranus_angle,Saturn-Uranus_aspect,Saturn-Neptune_angle,Saturn-Neptune_aspect,Saturn-Pluto_angle,Saturn-Pluto_aspect,Uranus-Neptune_angle,Uranus-Neptune_aspect,Uranus-Pluto_angle,Uranus-Pluto_aspect,Neptune-Pluto_angle,Neptune-Pluto_aspect
1910,False,None,1,151.3124443071864,None,107.95621284650579,None,77.23411573663606,None,99.20025521607381,None,100.73134284630783,None,74.07832857055035,None,52.11218909111259,None,174.80967141685815,Opposition,152.84353193742038,None,21.966139479437757,None
1911,False,None,2,167.73299628539314,None,83.47522736058502,Square,103.88012855537681,None,126.95681200644702,None,108.79177635402186,None,63.852867730016314,None,40.776184278946104,None,172.64464408403816,Opposition,149.56796063296795,None,23.07668345107021,None
1912,False,None,1,172.31107152668702,Opposition,55.307424196883204,None,134.11598987308025,None,158.30769581470636,None,117.00364732980381,None,53.57293860023274,None,29.381232658606613,None,170.57658593003657,None,146.38487998841043,None,24.191705941626125,None
1913,False,None,0,148.23494030289368,None,23.150390833203346,None,168.38837769163962,None,166.32602033429038,None,125.08454946969033,None,43.37668200546668,None,18.0910800313967,None,168.46123147515704,None,143.17562950108703,None,25.285601974069976,None
1914,False,None,1,122.35292927283405,None,10.812625653121813,None,155.56126356378425,None,129.18993590229672,None,133.16555492595586,None,33.20833429095022,None,6.8370066294627065,Conjunction,166.37388921690606,None,140.00256155541854,None,26.371327661487513,None
1915,False,None,2,98.28172102434144,None,42.96412190033408,None,121.3517368285751,None,93.90279756363373,Square,141.24584292467551,None,23.07001580423365,None,4.378923460707682,Conjunction,164.31585872890918,None,136.86691946396783,None,27.44893926494133,None
1916,False,None,1,77.77720549036296,None,71.70372100546496,None,90.6468387247835,Square,62.11769947403849,None,149.48092649582793,None,12.869633234420547,None,15.659506016324471,None,162.35055973024848,None,133.82142047950344,None,28.52913925074502,None
1917,False,None,2,60.52569167013143,None,97.0259770572145,Square,63.32651230095396,None,33.735455568260356,None,157.55166872734594,None,2.8008206308225283,Conjunction,26.790236101871074,None,160.3524893581685,None,130.76143262547487,None,29.591056732693602,None
1918,True,Spanish Flu,2,45.65150539128868,None,119.96663475820401,None,38.418797958822,None,7.773036540711431,Conjunction,165.6181401494927,None,7.2327074324666825,Conjunction,37.87846885057725,None,158.385432717026,None,127.73967129891543,None,30.645761418110567,None
1919,True,Spanish Flu (Cont),1,32.22181769538042,None,141.45854108949527,None,14.988347952739204,None,16.70479245810894,None,173.6803587848757,Opposition,17.23346974264122,None,48.926610153489364,None,156.4468890422345,None,124.75374863138632,None,31.693140410848144,None
