family_id,birth_year,birth_order,source
923587,1932,1,sibling_roster
923587,1939,2,sibling_roster
925201,1939,2,graduate
925201,1939,1,sibling_roster
925201,1939,2,sibling_roster
925201,1950,4,sibling_roster
906050,1939,1,sibling_roster
906050,1944,2,sibling_roster
901625,1939,2,graduate
913015,1939,2,graduate
913015,1936,1,sibling_roster
913015,1940,2,sibling_roster
913015,1944,3,sibling_roster
913015,1946,4,sibling_roster
913015,1947,5,sibling_roster
913015,1951,6,sibling_roster
926338,1938,6,graduate
902927,1939,1,sibling_roster
902927,1941,2,sibling_roster
905308,1939,5,graduate
905308,1933,1,sibling_roster
905308,1934,2,sibling_roster
905308,1936,3,sibling_roster
905308,1937,4,sibling_roster
905308,1940,5,sibling_roster
915051,1939,2,graduate
915051,1934,1,sibling_roster
915051,1939,2,sibling_roster
914444,1939,2,graduate
927730,1939,1,sibling_roster
932181,1939,6,graduate
932181,1927,1,sibling_roster
932181,1930,2,sibling_roster
932181,1931,3,sibling_roster
932181,1932,4,sibling_roster
932181,1936,5,sibling_roster
932181,1940,6,sibling_roster
916038,1940,1,sibling_roster
902743,1939,2,graduate
929490,1940,1,sibling_roster
929490,1942,2,sibling_roster
929490,1943,3,sibling_roster
929490,1945,4,sibling_roster
929490,1947,5,sibling_roster
929490,1951,6,sibling_roster
929490,1957,7,sibling_roster
929490,1957,8,sibling_roster
908143,1938,12,graduate
919492,1939,1,sibling_roster
919492,1941,2,sibling_roster
919492,1941,3,sibling_roster
913328,1939,1,sibling_roster
913328,1941,2,sibling_roster
913328,1943,3,sibling_roster
913328,1951,4,sibling_roster
907846,1938,6,graduate
907846,1916,2,sibling_roster
907846,1918,3,sibling_roster
907846,1932,4,sibling_roster
907846,1936,5,sibling_roster
907846,1939,6,sibling_roster
908805,1939,4,graduate
908805,1934,1,sibling_roster
908805,1935,2,sibling_roster
908805,1937,3,sibling_roster
908805,1939,4,sibling_roster
908805,1948,5,sibling_roster
909868,1939,1,sibling_roster
909868,1940,2,sibling_roster
921974,1938,3,graduate
903377,1939,3,graduate
903377,1935,1,sibling_roster
903377,1937,2,sibling_roster
903377,1940,3,sibling_roster
903377,1944,4,sibling_roster
903377,1954,5,sibling_roster
914659,1938,2,graduate
914659,1936,1,sibling_roster
914659,1939,2,sibling_roster
911601,1938,3,graduate
911601,1929,1,sibling_roster
911601,1937,2,sibling_roster
911601,1939,3,sibling_roster
911601,1941,4,sibling_roster
911601,1949,5,sibling_roster
921500,1938,2,graduate
913116,1940,1,sibling_roster
913116,1943,2,sibling_roster
913116,1946,3,sibling_roster
910090,1939,1,sibling_roster
910090,1941,2,sibling_roster
931554,1939,2,graduate
931554,1938,1,sibling_roster
931554,1939,2,sibling_roster
931554,1940,3,sibling_roster
931554,1941,4,sibling_roster
931554,1949,5,sibling_roster
917185,1939,6,graduate
917185,1931,2,sibling_roster
917185,1935,3,sibling_roster
917185,1937,4,sibling_roster
917185,1937,5,sibling_roster
917185,1939,6,sibling_roster
917185,1943,7,sibling_roster
908132,1939,2,graduate
908132,1937,1,sibling_roster
908132,1940,2,sibling_roster
908132,1944,3,sibling_roster
908132,1944,4,sibling_roster
905793,1940,1,sibling_roster
905793,1941,2,sibling_roster
905793,1943,3,sibling_roster
905793,1945,4,sibling_roster
922347,1938,4,graduate
922347,1932,1,sibling_roster
922347,1934,2,sibling_roster
922347,1936,3,sibling_roster
922347,1938,4,sibling_roster
910060,1939,3,graduate
910060,1935,1,sibling_roster
910060,1937,2,sibling_roster
910060,1940,3,sibling_roster
920692,1939,1,sibling_roster
903489,1940,1,sibling_roster
903489,1942,2,sibling_roster
903489,1944,3,sibling_roster
908007,1939,3,graduate
908007,1937,1,sibling_roster
908007,1938,2,sibling_roster
908007,1940,3,sibling_roster
908007,1945,4,sibling_roster
908007,1952,5,sibling_roster
908007,1954,6,sibling_roster
908007,1955,7,sibling_roster
914036,1939,2,graduate
914036,1933,1,sibling_roster
914036,1939,2,sibling_roster
910812,1939,4,graduate
910812,1939,5,sibling_roster
932212,1939,3,graduate
932212,1935,1,sibling_roster
932212,1937,2,sibling_roster
932212,1939,3,sibling_roster
