date,total_ed_visits
2021-10-20,10416
2021-10-21,9981
2021-10-22,9854
2021-10-23,8220
2021-10-24,7917
2021-10-25,10856
2021-10-26,9224
2021-10-27,9611
2021-10-28,9281
2021-10-29,8641
2021-10-30,8252
2021-10-31,7705
2021-11-01,10755
2021-11-02,9711
2021-11-03,9857
2021-11-04,9461
2021-11-05,9333
2021-11-06,8190
2021-11-07,8289
2021-11-08,10470
2021-11-09,10251
2021-11-10,9759
2021-11-11,9204
2021-11-12,9476
2021-11-13,8015
2021-11-14,7765
2021-11-15,10536
2021-11-16,9784
2021-11-17,9922
2021-11-18,9698
2021-11-19,9259
2021-11-20,8304
2021-11-21,8009
2021-11-22,10226
2021-11-23,9062
2021-11-24,8748
2021-11-25,6451
2021-11-26,8790
2021-11-27,7986
2021-11-28,8001
2021-11-29,10451
2021-11-30,9740
2021-12-01,9946
2021-12-02,10094
2021-12-03,10054
2021-12-04,8703
2021-12-05,8286
2021-12-06,11032
2021-12-07,10425
2021-12-08,10321
2021-12-09,10005
2021-12-10,9635
2021-12-11,9127
2021-12-12,8643
2021-12-13,11514
2021-12-14,11142
2021-12-15,11306
2021-12-16,11320
2021-12-17,11309
2021-12-18,10142
2021-12-19,10311
2021-12-20,12803
2021-12-21,12525
2021-12-22,12699
2021-12-23,11162
2021-12-24,10730
2021-12-25,10206
2021-12-26,11557
2021-12-27,14098
2021-12-28,13194
2021-12-29,12472
2021-12-30,11997
2021-12-31,10303
2022-01-01,10619
2022-01-02,11621
2022-01-03,12043
2022-01-04,11098
2022-01-05,11174
2022-01-06,10562
2022-01-07,8915
2022-01-08,8680
2022-01-09,8215
2022-01-10,10024
2022-01-11,8533
2022-01-12,9054
2022-01-13,9243
2022-01-14,8865
2022-01-15,7174
2022-01-16,6866
2022-01-17,8159
2022-01-18,8994
2022-01-19,9082
2022-01-20,8328
2022-01-21,8160
2022-01-22,7103
2022-01-23,7034
2022-01-24,9064
2022-01-25,8636
2022-01-26,7664
2022-01-27,7897
2022-01-28,7644
2022-01-29,5234
2022-01-30,6274
2022-01-31,8301
2022-02-01,7947
2022-02-02,8194
2022-02-03,8204
2022-02-04,8286
2022-02-05,7084
2022-02-06,6559
2022-02-07,8887
2022-02-08,8635
2022-02-09,8807
2022-02-10,8344
2022-02-11,8184
2022-02-12,7119
2022-02-13,6057
2022-02-14,9000
2022-02-15,8927
2022-02-16,9376
2022-02-17,9325
2022-02-18,8963
2022-02-19,7745
2022-02-20,7421
2022-02-21,9014
2022-02-22,9115
2022-02-23,8849
2022-02-24,8723
2022-02-25,8254
2022-02-26,7685
2022-02-27,7573
2022-02-28,9767
2022-03-01,9233
2022-03-02,9281
2022-03-03,8948
2022-03-04,9071
2022-03-05,7930
2022-03-06,7939
2022-03-07,10658
2022-03-08,9568
2022-03-09,8974
2022-03-10,9499
2022-03-11,9306
2022-03-12,7537
2022-03-13,7428
2022-03-14,10695
2022-03-15,10160
2022-03-16,9976
2022-03-17,9576
2022-03-18,9718
2022-03-19,8517
2022-03-20,8161
2022-03-21,10729
2022-03-22,10076
2022-03-23,9668
2022-03-24,9301
2022-03-25,9645
2022-03-26,8245
2022-03-27,7966
2022-03-28,10199
2022-03-29,9462
2022-03-30,9668
2022-03-31,9823
2022-04-01,9429
2022-04-02,8663
2022-04-03,8159
2022-04-04,11116
2022-04-05,10219
2022-04-06,9689
2022-04-07,9550
2022-04-08,9915
2022-04-09,8591
2022-04-10,8157
2022-04-11,10917
2022-04-12,10259
2022-04-13,9782
2022-04-14,9527
2022-04-15,9174
2022-04-16,8472
2022-04-17,7731
2022-04-18,10141
2022-04-19,9520
2022-04-20,9418
2022-04-21,9442
2022-04-22,9221
2022-04-23,8483
2022-04-24,8341
2022-04-25,11027
2022-04-26,10233
2022-04-27,9858
2022-04-28,9686
2022-04-29,9668
2022-04-30,8756
2022-05-01,8476
2022-05-02,10356
2022-05-03,10589
2022-05-04,10575
2022-05-05,10276
2022-05-06,9853
2022-05-07,8363
2022-05-08,7787
2022-05-09,11556
2022-05-10,10884
2022-05-11,11021
2022-05-12,11255
2022-05-13,10462
2022-05-14,9411
2022-05-15,9336
2022-05-16,12416
2022-05-17,11454
2022-05-18,11319
